time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1596326400,387.4,415,325.75,372.21,387.42,415.67,325,371.96,65.23448852545884
1596412800,372.19,399.69,366.34,386.22,372.42,398.52,367,386.3,65.59901244954999
1596499200,386.27,403.64,380.67,389.82,386.3,403.54,380.87,389.75,65.08433055617195
1596585600,389.76,408,383.86,401.21,390.95,407.7,383.6,401.21,63.52385680737574
1596672000,401.21,404.03,391,395.28,401.23,404,389.64,394.9,63.823624510384924
1596758400,395.28,398.57,362.88,379.75,394.94,398.65,360,379.71,66.45862576490828
1596844800,379.76,400.06,376.18,397.51,379.6,397.64,376.41,397.48,66.08060815512012
1596931200,397.5,401,384.02,390.41,397.53,400.5,383.48,390.32,66.80698559880135
1597017600,390.41,400.21,385.44,395.78,391.36,400.51,384.61,395.99,66.24824764911024
1597104000,395.77,398.3,364.77,378.88,395.57,398.43,366.22,378.98,69.4173424956431
1597190400,378.92,389.57,365.19,387.27,378.71,389.3,365.41,387.31,68.692510716743
1597276800,387.27,432.94,376.46,424.94,387.41,431.8,375.8,424.9,73.39695369418675
1597363200,425,445.45,417.52,438.83,425.43,444.8,418,438.72,72.85407196450323
1597449600,438.83,443.33,428,432.55,438.72,443.11,422.01,432.78,72.44287671743963
1597536000,432.67,437,412.51,433.7,432.55,437.11,412.43,434.05,72.23076760702786
1597622400,433.71,447.5,420.5,431.5,434.27,447,420.38,430.86,72.73413323945907
1597708800,431.5,434.27,414.44,422.31,431.26,434.41,413.23,422.09,74.11150225125029
1597795200,422.31,426.97,393.75,407.59,422.15,426.82,393,407.43,75.6790425037156
1597881600,407.6,419.58,402.3,415.92,408.25,419.36,402.33,416.18,75.3013912611608
1597968000,415.92,418.92,385,388.05,416.19,419,383,388.11,78.30451328791766
1598054400,388,399.73,379.53,395.62,387.72,396.92,379.4,396.12,77.64839314651685
1598140800,395.52,400,383.67,390.9,395.57,397.44,383.66,390.86,78.0790354327052
1598227200,390.78,411.97,387.72,407.76,390.98,410.47,387.65,408.28,73.92526802125171
1598313600,407.76,409.31,369.36,383.33,407.8,409.01,368.88,383.78,77.77793557982785
1598400000,383.26,393.5,377.56,386.1,383.1,393.38,376.38,386.14,77.16714782852871
1598486400,386.12,397.15,371.5,383.25,386.25,397.46,368.5,383.43,76.97457348563277
1598572800,383.27,398.16,379.67,395.47,383.43,398.32,379.83,395.42,77.43315749046063
1598659200,395.35,405.82,392.34,398.58,395.35,405.91,392.43,398.58,75.75433369171607
1598745600,398.57,429.9,398.24,428.94,398.66,430,398.44,428.92,78.69588823092651
1598832000,428.92,439,418.16,433.89,428.78,439.58,418.21,434,69.66606838996239
1598918400,433.88,488.95,429.66,475.57,434,489,429.61,475.59,74.10020387481876
1599004800,475.57,481.2,420.58,440.02,475.57,481.64,420.01,439.92,78.9539757024635
1599091200,439.99,451,370,382.87,440.24,451.42,372.13,382.47,92.98311820000772
1599177600,382.15,400.5,359,388.96,381.65,400.69,360.98,385.94,92.58865321288468
1599264000,389.2,394.38,310,335.25,385.65,394.86,309.7,334.91,105.48072755428964
1599350400,335.25,360.61,316.43,352.77,334.77,360.66,316.49,352.76,106.46333753489647
1599436800,352.85,358.66,323.17,353.71,353.5,358.65,323.28,353.53,105.10890033072674
1599523200,353.71,357.01,325.36,337.48,353.76,356.41,325.34,337.28,106.04707877290952
1599609600,337.48,359.41,330.6,351.1,337.12,359.34,330.72,351.21,106.96551212323577
1599696000,351.11,377.79,350.23,368.06,350.86,377.84,350.19,367.9,107.40334236646493
1599782400,367.94,375.38,355.81,373.93,368.49,375.42,355.52,374.06,107.26599102867252
1599868800,373.93,388.25,364.88,387.81,374.07,388.23,364.73,387.58,102.90934597309172
1599955200,387.82,390.41,353.58,366.58,387.72,390.55,353.05,366.48,103.69547225464053
1600041600,366.58,384.61,355.66,377.28,366.55,385,356.06,377.25,104.32465429388299
1600128000,377.27,382.76,362.5,364.2,377.25,382.35,362.07,364.03,104.81575308981341
1600214400,364.05,373.37,355,365.23,363.78,373.38,354.85,365.11,104.85760335103188
1600300800,365.22,394.55,363.4,389.45,364.8,394.32,363.33,389.27,107.36138713230255
1600387200,389.52,392.69,375.19,384.64,389.11,392.53,375.54,384.84,106.79470543038961
1600473600,384.6,388.43,377.2,385.23,383.49,388.36,377.11,385.5,106.51473706210817
1600560000,385.25,385.31,364.89,370.69,384.98,385.38,364.94,370.86,104.6686667268954
1600646400,371.03,376.76,331,340.11,371.04,376.47,330.77,340.18,108.29493357400199
1600732800,340.36,346.84,335.57,344.26,340.35,346.74,335.48,344.04,108.42228057341684
1600819200,344.25,344.64,313,320.63,344.38,344.61,313,320.17,109.47494767794171
1600905600,320.65,353.14,316.65,349.14,320.58,353.26,316.83,349.03,112.25949301036945
1600992000,349.14,358.12,337.63,352.11,348.83,358.03,337.78,351.51,112.27453962468931
1601078400,352.12,356.5,346.03,354.13,352.6,356.62,346.19,353.92,112.3031153406005
1601164800,354.01,362.86,347.05,357.55,354.23,362.25,347.16,357.39,111.74741680257043
1601251200,357.53,368.52,351.88,353.91,357.86,368.35,352,353.95,111.69899078106509
1601337600,353.68,360.59,350.19,359.9,352.4,360.8,350.25,359.8,108.57115004279294
1601424000,359.93,361.51,351.38,359.89,359.91,361.34,351.29,359.94,108.41941033053462
1601510400,360.01,370.25,345.01,352.9,360.03,369.69,345.01,352.95,102.75621168085078
1601596800,352.84,354.25,334.19,345.7,351.95,354.29,334.46,345.68,100.00511790801227
1601683200,345.74,351.2,343.71,346.18,345.84,351.26,344.03,346.31,88.55054781574883
1601769600,346.18,354.35,344.08,352.48,345.88,354.14,344.16,352.68,88.61317201432271
1601856000,352.42,356.12,348.69,353.73,352.6,356.04,348.46,353.64,72.07522897541936
1601942400,353.82,355.33,336.73,340.78,354.88,355.1,336.85,340.77,71.09994666495746
1602028800,340.8,342.83,332.87,341.68,340.66,342.96,332.93,341.86,71.09979334966496
1602115200,341.7,353.34,334.29,351.25,342,353.45,333.82,351.25,69.8423804561513
1602201600,351.17,368.7,347.15,365.36,351.06,368.45,339.91,365.51,69.83042621893662
1602288000,365.35,380.81,365.02,370.75,365.2,378.51,365.11,371.06,68.10161419290107
1602374400,370.73,377.49,369.02,374.38,370.71,377.55,369.37,374.33,67.96417586943328
1602460800,374.37,395.18,365.77,386.74,374.13,395.44,365.68,386.43,67.71888564700996
1602547200,386.77,387.88,374.29,381.37,387.23,387.8,374.19,381.5,64.94376496338283
1602633600,381.37,387.63,373.29,378.97,381.47,387.62,373.08,378.86,64.25024735583375
1602720000,379.01,381.99,370.06,377.94,378.43,382,370.15,377.88,63.02412764607801
1602806400,377.89,380,361.38,365.57,377.88,379.95,361.34,365.61,64.11990820404262
1602892800,365.57,370.57,363.56,368.48,365.77,370.65,363.62,368.56,60.0416192663932
1602979200,368.48,378.69,367.31,378.58,367.8,378.64,367.6,378.48,60.71713887560743
1603065600,378.56,384.69,372.89,379.36,378.58,384.7,372.81,379.17,60.71957759026391
1603152000,379.53,380.9,364.04,368.81,379.47,380.95,364.25,368.68,60.036649750162226
1603238400,368.81,402.62,368.06,391.53,369.06,402.46,368.2,391.59,55.29046318377321
1603324800,391.36,421.47,391.33,414.7,391.3,421.52,391.3,414.56,58.1476756891563
1603411200,414.64,419.48,401.51,409.52,414.12,419.51,401.5,409.76,51.79644904372806
1603497600,409.55,417,407.4,412.58,409.97,416.91,407.82,412.62,44.005980399997355
1603584000,412.58,417.86,402.92,406.46,412.36,418.13,403.2,406.28,44.54722488544326
1603670400,406.32,411.47,382.21,393.12,406.2,411.26,382.5,393.11,46.42496522109433
1603756800,393.07,411.77,390.35,404.55,393.36,410.88,390.39,403.91,47.18439964862117
1603843200,404.56,409.52,380.5,388.63,403.45,409.31,380.36,388.6,49.35657639667587
1603929600,388.59,394,380.75,387.6,389,394.02,380.53,387.34,49.1515895039862
1604016000,387.49,392.16,373.4,382.77,387.65,392.07,373.73,382.61,49.41558121255365
1604102400,382.77,394,380.76,386.74,382.49,394,380.79,387.01,48.882010135814134
1604188800,386.72,397.65,385.09,396.91,386.31,398.13,385,396.78,48.74775329545511
1604275200,396.91,404.57,378.36,383.33,397.14,404.5,378.23,383.86,50.584699202491805
1604361600,383.33,390.35,370.5,388.32,383.33,390.63,370.43,388.42,50.43513317069451
1604448000,388.33,409,376.64,403.18,388.8,408.81,375.05,403.06,51.79142300330259
1604534400,403.19,421.25,396.43,417.17,403.33,421.43,395.93,417.05,50.578695272516065
1604620800,417.29,458.92,415.57,456.65,418.02,458.7,415.86,456.3,58.110963395248824
1604707200,456.69,468.98,423,435.73,456.35,468.91,424.17,435.46,60.86369272219315
1604793600,435.59,460.57,432.65,454.61,435.09,460.86,432.86,454.83,61.06741443841026
1604880000,454.61,460,433.83,444.81,454.47,459.74,434.26,444.28,61.8071748637979
1604966400,444.84,455.51,439.36,450.89,445.14,455.25,439.09,450.55,61.84884818880759
1605052800,450.89,476.8,449.95,463.79,451.26,477,449.97,464.33,61.64495295294661
1605139200,463.75,470.56,452.07,462.98,463.29,470.43,451.63,463.06,61.30292284410486
1605225600,462.91,478.31,457.64,477.14,464,478.51,457.85,477.18,61.65162967735078
1605312000,477.15,478,452.17,461.16,477.3,478.35,451.88,461.31,63.21221812878138
1605398400,461.21,463.24,439.77,448.58,460.94,463.46,440.6,448.45,62.80861408986617
1605484800,448.6,466.21,445.91,460.85,448.51,466.49,445.91,460.57,63.188376198183384
1605571200,460.87,485,460.05,482.68,460.49,485.36,460.4,482.96,64.24952568368624
1605657600,482.75,495.68,456.5,478.96,482.5,496,458.33,478.71,64.44904952140331
1605744000,479,480.99,465.18,471.92,479.68,481.1,465,471.9,63.69863152421881
1605830400,471.92,514.73,471.07,510.43,471.98,514.72,471.32,510.35,65.82289249942502
1605916800,510.6,554.28,502.82,553.07,510.53,554,503.1,552.96,68.28362200888422
1606003200,553.06,581.8,511.16,560.82,553.18,581.92,511.25,561.26,67.84018718406543
1606089600,560.78,611.43,550,609.26,561.73,611.67,549.99,609.35,72.21659852863172
1606176000,609.26,623.22,587.25,605.45,609.25,623.65,589.97,605.72,71.86883217218772
1606262400,605.45,606.49,554,568.79,605.17,606.61,554.26,569.64,74.79903774453452
1606348800,569.19,577,480.08,520.34,569,576.99,480.74,520.21,82.19338830097615
1606435200,520.35,531.41,493.51,519.07,521.07,531.12,493.97,518.65,80.48373190293634
1606521600,519.04,548.83,505.01,538.11,519.39,548.65,506.51,537.92,80.85669364873323
1606608000,537.97,577.55,531,576.76,537.4,577.18,530.54,576.6,82.81836480030061
1606694400,576.9,617,571.11,617,576.97,617,570.76,617,84.8300152361014
1606780800,617,636.53,563.01,586.03,617,636.93,562.74,586.16,87.78357784639442
1606867200,585.87,604.96,575.08,597.35,585.69,604.99,575.24,598.2,86.14368176178868
1606953600,597.03,624.57,586.11,616.65,596.45,624.36,586,616.74,86.3370251245486
1607040000,616.46,620.56,566,567.6,616.26,620.92,565.83,567.78,92.25665181667375
1607126400,567.76,597.88,561.15,597.29,567.21,597.91,561,597.16,92.94102243964348
1607212800,597.29,607.46,583.31,601.95,598,607.41,583.5,602.47,88.67634621075176
1607299200,601.97,603.4,584.54,591.47,602.98,602.98,584.71,591.65,86.97273652898365
1607385600,591.53,595.47,548.12,554.79,591.66,595.45,548.68,554.72,89.78813864932609
1607472000,554.8,578.67,530.32,573.38,554.59,577.91,530.36,573.44,89.64203519128657
1607558400,573.26,575.62,547.83,559.45,573.75,574.9,548.38,558.11,90.33031263711378
1607644800,559.33,560.62,535.5,544.23,559.57,560.05,535.03,543.76,90.77617842319282
1607731200,544.51,574.33,543.22,568.64,543.38,574.52,543.38,568.2,91.68713414292685
1607817600,568.64,595.21,563.79,590.75,568.07,595,563.68,590.71,91.97559373761857
1607904000,590.45,591.71,575.58,586.39,590.5,591.64,575.59,586.17,90.97219277254281
1607990400,586.4,597.04,579.15,589.08,586.49,597.61,579,589.04,90.10210984566388
1608076800,589.08,639.58,581.21,637.98,589.12,639.92,581,638.31,93.14294572809179
1608163200,637.91,677.05,626.79,643.37,638.45,676.94,625.86,643.71,92.2913651345754
1608249600,643.26,664.46,629.59,654.66,644.67,664.42,628.6,655,92.11997314924024
1608336000,654.66,672.06,646.54,658.96,655,671,645.97,658.71,91.69869240303329
1608422400,658.8,661.4,621.46,638.4,658.92,661.39,621.55,638.49,89.61740724591485
1608508800,638.19,648.35,596.9,608.07,637.88,648.16,595.22,607.77,87.76607811003294
1608595200,608.07,638.5,587.54,636.82,608.39,638.19,587.59,637.23,88.93779726398607
1608681600,636.73,638.75,551.45,585.11,637.22,638.8,550,585.43,89.47818988472963
1608768000,585.37,614.99,565.61,612.27,584.86,614.95,565.67,612.23,90.87445020556709
1608854400,612.25,633.97,604.26,626.75,613.25,633.47,604.2,626.78,88.38720738672914
1608940800,626.71,652.7,615.22,636.52,626.82,652.73,615.5,636.49,82.16160999971737
1609027200,636.85,714.99,625.01,684.12,638,714.99,624.49,683.6,85.07734941236149
1609113600,684.11,747,680.9,729.7,683.85,747,680.67,729.63,86.71430403192238
1609200000,729.65,739.66,688,731.76,729.31,739.81,688.98,731.8,84.15105555801928
1609286400,731.79,759,717,752.86,733.57,758.5,716.83,752.71,81.82582044976704
1609372800,752.87,755.9,724,737.67,753.31,755.9,722.35,737.24,79.80722679473688
1609459200,737.89,750,717.1,730.99,737.5,750.34,716.24,731.18,79.90110275684755
1609545600,730.97,789.21,715.22,775.3,731.99,788.82,717,775.59,81.45717312439945
